,symbol,date,time,prev_close,open,high,low,last_prc
4351,000555.SZ,20231117.0,143730000,12.77,12.72,12.79,12.56,12.65
4352,000555.SZ,20231117.0,143733000,12.77,12.72,12.79,12.56,12.65
4353,000555.SZ,20231117.0,143736000,12.77,12.72,12.79,12.56,12.65
4354,000555.SZ,20231117.0,143739000,12.77,12.72,12.79,12.56,12.65
4355,000555.SZ,20231117.0,143742000,12.77,12.72,12.79,12.56,12.65
4356,000555.SZ,20231117.0,143745000,12.77,12.72,12.79,12.56,12.65
4357,000555.SZ,20231117.0,143748000,12.77,12.72,12.79,12.56,12.65
4358,000555.SZ,20231117.0,143751000,12.77,12.72,12.79,12.56,12.65
4359,000555.SZ,20231117.0,143754000,12.77,12.72,12.79,12.56,12.65
4360,000555.SZ,20231117.0,143757000,12.77,12.72,12.79,12.56,12.66
4361,000555.SZ,20231117.0,143800000,12.77,12.72,12.79,12.56,12.66
4362,000555.SZ,20231117.0,143803000,12.77,12.72,12.79,12.56,12.66
4363,000555.SZ,20231117.0,143806000,12.77,12.72,12.79,12.56,12.66
4364,000555.SZ,20231117.0,143809000,12.77,12.72,12.79,12.56,12.65
4365,000555.SZ,20231117.0,143812000,12.77,12.72,12.79,12.56,12.66
4366,000555.SZ,20231117.0,143815000,12.77,12.72,12.79,12.56,12.66
4367,000555.SZ,20231117.0,143818000,12.77,12.72,12.79,12.56,12.65
4368,000555.SZ,20231117.0,143821000,12.77,12.72,12.79,12.56,12.66
4369,000555.SZ,20231117.0,143824000,12.77,12.72,12.79,12.56,12.66
4370,000555.SZ,20231117.0,143827000,12.77,12.72,12.79,12.56,12.66
4371,000555.SZ,20231117.0,143830000,12.77,12.72,12.79,12.56,12.66
4372,000555.SZ,20231117.0,143833000,12.77,12.72,12.79,12.56,12.65
4373,000555.SZ,20231117.0,143836000,12.77,12.72,12.79,12.56,12.66
4374,000555.SZ,20231117.0,143839000,12.77,12.72,12.79,12.56,12.66
4375,000555.SZ,20231117.0,143842000,12.77,12.72,12.79,12.56,12.66
4376,000555.SZ,20231117.0,143845000,12.77,12.72,12.79,12.56,12.66
4377,000555.SZ,20231117.0,143848000,12.77,12.72,12.79,12.56,12.66
4378,000555.SZ,20231117.0,143851000,12.77,12.72,12.79,12.56,12.65
4379,000555.SZ,20231117.0,143854000,12.77,12.72,12.79,12.56,12.65
4380,000555.SZ,20231117.0,143857000,12.77,12.72,12.79,12.56,12.65
4381,000555.SZ,20231117.0,143900000,12.77,12.72,12.79,12.56,12.66
4382,000555.SZ,20231117.0,143903000,12.77,12.72,12.79,12.56,12.66
4383,000555.SZ,20231117.0,143906000,12.77,12.72,12.79,12.56,12.66
4384,000555.SZ,20231117.0,143909000,12.77,12.72,12.79,12.56,12.66
4385,000555.SZ,20231117.0,143912000,12.77,12.72,12.79,12.56,12.66
4386,000555.SZ,20231117.0,143915000,12.77,12.72,12.79,12.56,12.65
4387,000555.SZ,20231117.0,143918000,12.77,12.72,12.79,12.56,12.66
4388,000555.SZ,20231117.0,143921000,12.77,12.72,12.79,12.56,12.66
4389,000555.SZ,20231117.0,143924000,12.77,12.72,12.79,12.56,12.66
4390,000555.SZ,20231117.0,143927000,12.77,12.72,12.79,12.56,12.66
4391,000555.SZ,20231117.0,143930000,12.77,12.72,12.79,12.56,12.66
4392,000555.SZ,20231117.0,143933000,12.77,12.72,12.79,12.56,12.65
4393,000555.SZ,20231117.0,143936000,12.77,12.72,12.79,12.56,12.65
4394,000555.SZ,20231117.0,143939000,12.77,12.72,12.79,12.56,12.65
4395,000555.SZ,20231117.0,143942000,12.77,12.72,12.79,12.56,12.65
4396,000555.SZ,20231117.0,143945000,12.77,12.72,12.79,12.56,12.65
4397,000555.SZ,20231117.0,143948000,12.77,12.72,12.79,12.56,12.65
4398,000555.SZ,20231117.0,143951000,12.77,12.72,12.79,12.56,12.65
4399,000555.SZ,20231117.0,143954000,12.77,12.72,12.79,12.56,12.65
4400,000555.SZ,20231117.0,143957000,12.77,12.72,12.79,12.56,12.65
4401,000555.SZ,20231117.0,144000000,12.77,12.72,12.79,12.56,12.65
4402,000555.SZ,20231117.0,144003000,12.77,12.72,12.79,12.56,12.64
4403,000555.SZ,20231117.0,144006000,12.77,12.72,12.79,12.56,12.64
4404,000555.SZ,20231117.0,144009000,12.77,12.72,12.79,12.56,12.65
4405,000555.SZ,20231117.0,144012000,12.77,12.72,12.79,12.56,12.64
4406,000555.SZ,20231117.0,144015000,12.77,12.72,12.79,12.56,12.64
4407,000555.SZ,20231117.0,144018000,12.77,12.72,12.79,12.56,12.64
4408,000555.SZ,20231117.0,144021000,12.77,12.72,12.79,12.56,12.64
4409,000555.SZ,20231117.0,144024000,12.77,12.72,12.79,12.56,12.65
4410,000555.SZ,20231117.0,144027000,12.77,12.72,12.79,12.56,12.64
4411,000555.SZ,20231117.0,144030000,12.77,12.72,12.79,12.56,12.63
4412,000555.SZ,20231117.0,144033000,12.77,12.72,12.79,12.56,12.65
4413,000555.SZ,20231117.0,144036000,12.77,12.72,12.79,12.56,12.64
4414,000555.SZ,20231117.0,144039000,12.77,12.72,12.79,12.56,12.64
4415,000555.SZ,20231117.0,144042000,12.77,12.72,12.79,12.56,12.64
4416,000555.SZ,20231117.0,144045000,12.77,12.72,12.79,12.56,12.64
4417,000555.SZ,20231117.0,144048000,12.77,12.72,12.79,12.56,12.64
4418,000555.SZ,20231117.0,144051000,12.77,12.72,12.79,12.56,12.64
4419,000555.SZ,20231117.0,144054000,12.77,12.72,12.79,12.56,12.65
4420,000555.SZ,20231117.0,144057000,12.77,12.72,12.79,12.56,12.64
4421,000555.SZ,20231117.0,144100000,12.77,12.72,12.79,12.56,12.64
4422,000555.SZ,20231117.0,144103000,12.77,12.72,12.79,12.56,12.64
4423,000555.SZ,20231117.0,144106000,12.77,12.72,12.79,12.56,12.64
4424,000555.SZ,20231117.0,144109000,12.77,12.72,12.79,12.56,12.64
4425,000555.SZ,20231117.0,144112000,12.77,12.72,12.79,12.56,12.64
4426,000555.SZ,20231117.0,144115000,12.77,12.72,12.79,12.56,12.64
4427,000555.SZ,20231117.0,144118000,12.77,12.72,12.79,12.56,12.64
4428,000555.SZ,20231117.0,144121000,12.77,12.72,12.79,12.56,12.64
4429,000555.SZ,20231117.0,144124000,12.77,12.72,12.79,12.56,12.64
4430,000555.SZ,20231117.0,144127000,12.77,12.72,12.79,12.56,12.64
4431,000555.SZ,20231117.0,144130000,12.77,12.72,12.79,12.56,12.65
4432,000555.SZ,20231117.0,144133000,12.77,12.72,12.79,12.56,12.65
4433,000555.SZ,20231117.0,144136000,12.77,12.72,12.79,12.56,12.64
4434,000555.SZ,20231117.0,144139000,12.77,12.72,12.79,12.56,12.64
4435,000555.SZ,20231117.0,144142000,12.77,12.72,12.79,12.56,12.64
4436,000555.SZ,20231117.0,144145000,12.77,12.72,12.79,12.56,12.64
4437,000555.SZ,20231117.0,144148000,12.77,12.72,12.79,12.56,12.64
4438,000555.SZ,20231117.0,144151000,12.77,12.72,12.79,12.56,12.64
4439,000555.SZ,20231117.0,144154000,12.77,12.72,12.79,12.56,12.64
4440,000555.SZ,20231117.0,144157000,12.77,12.72,12.79,12.56,12.65
4441,000555.SZ,20231117.0,144200000,12.77,12.72,12.79,12.56,12.64
4442,000555.SZ,20231117.0,144203000,12.77,12.72,12.79,12.56,12.64
4443,000555.SZ,20231117.0,144206000,12.77,12.72,12.79,12.56,12.64
4444,000555.SZ,20231117.0,144209000,12.77,12.72,12.79,12.56,12.65
4445,000555.SZ,20231117.0,144212000,12.77,12.72,12.79,12.56,12.65
4446,000555.SZ,20231117.0,144215000,12.77,12.72,12.79,12.56,12.65
4447,000555.SZ,20231117.0,144218000,12.77,12.72,12.79,12.56,12.65
4448,000555.SZ,20231117.0,144221000,12.77,12.72,12.79,12.56,12.65
4449,000555.SZ,20231117.0,144224000,12.77,12.72,12.79,12.56,12.64
4450,000555.SZ,20231117.0,144227000,12.77,12.72,12.79,12.56,12.64
4451,000555.SZ,20231117.0,144230000,12.77,12.72,12.79,12.56,12.64
4452,000555.SZ,20231117.0,144233000,12.77,12.72,12.79,12.56,12.64
4453,000555.SZ,20231117.0,144236000,12.77,12.72,12.79,12.56,12.64
4454,000555.SZ,20231117.0,144239000,12.77,12.72,12.79,12.56,12.64
4455,000555.SZ,20231117.0,144242000,12.77,12.72,12.79,12.56,12.64
4456,000555.SZ,20231117.0,144245000,12.77,12.72,12.79,12.56,12.64
4457,000555.SZ,20231117.0,144248000,12.77,12.72,12.79,12.56,12.64
4458,000555.SZ,20231117.0,144251000,12.77,12.72,12.79,12.56,12.64
4459,000555.SZ,20231117.0,144254000,12.77,12.72,12.79,12.56,12.64
4460,000555.SZ,20231117.0,144257000,12.77,12.72,12.79,12.56,12.64
4461,000555.SZ,20231117.0,144300000,12.77,12.72,12.79,12.56,12.64
4462,000555.SZ,20231117.0,144303000,12.77,12.72,12.79,12.56,12.64
4463,000555.SZ,20231117.0,144306000,12.77,12.72,12.79,12.56,12.64
4464,000555.SZ,20231117.0,144309000,12.77,12.72,12.79,12.56,12.64
4465,000555.SZ,20231117.0,144312000,12.77,12.72,12.79,12.56,12.64
4466,000555.SZ,20231117.0,144315000,12.77,12.72,12.79,12.56,12.64
4467,000555.SZ,20231117.0,144318000,12.77,12.72,12.79,12.56,12.64
4468,000555.SZ,20231117.0,144321000,12.77,12.72,12.79,12.56,12.64
4469,000555.SZ,20231117.0,144324000,12.77,12.72,12.79,12.56,12.64
4470,000555.SZ,20231117.0,144327000,12.77,12.72,12.79,12.56,12.64
4471,000555.SZ,20231117.0,144330000,12.77,12.72,12.79,12.56,12.64
4472,000555.SZ,20231117.0,144333000,12.77,12.72,12.79,12.56,12.64
4473,000555.SZ,20231117.0,144336000,12.77,12.72,12.79,12.56,12.64
4474,000555.SZ,20231117.0,144339000,12.77,12.72,12.79,12.56,12.64
4475,000555.SZ,20231117.0,144342000,12.77,12.72,12.79,12.56,12.65
4476,000555.SZ,20231117.0,144345000,12.77,12.72,12.79,12.56,12.64
4477,000555.SZ,20231117.0,144348000,12.77,12.72,12.79,12.56,12.65
4478,000555.SZ,20231117.0,144351000,12.77,12.72,12.79,12.56,12.64
4479,000555.SZ,20231117.0,144354000,12.77,12.72,12.79,12.56,12.64
4480,000555.SZ,20231117.0,144357000,12.77,12.72,12.79,12.56,12.64
4481,000555.SZ,20231117.0,144400000,12.77,12.72,12.79,12.56,12.64
4482,000555.SZ,20231117.0,144403000,12.77,12.72,12.79,12.56,12.64
4483,000555.SZ,20231117.0,144406000,12.77,12.72,12.79,12.56,12.63
4484,000555.SZ,20231117.0,144409000,12.77,12.72,12.79,12.56,12.64
4485,000555.SZ,20231117.0,144412000,12.77,12.72,12.79,12.56,12.64
4486,000555.SZ,20231117.0,144415000,12.77,12.72,12.79,12.56,12.64
4487,000555.SZ,20231117.0,144418000,12.77,12.72,12.79,12.56,12.64
4488,000555.SZ,20231117.0,144421000,12.77,12.72,12.79,12.56,12.65
4489,000555.SZ,20231117.0,144424000,12.77,12.72,12.79,12.56,12.64
4490,000555.SZ,20231117.0,144427000,12.77,12.72,12.79,12.56,12.64
4491,000555.SZ,20231117.0,144430000,12.77,12.72,12.79,12.56,12.64
4492,000555.SZ,20231117.0,144433000,12.77,12.72,12.79,12.56,12.64
4493,000555.SZ,20231117.0,144436000,12.77,12.72,12.79,12.56,12.64
4494,000555.SZ,20231117.0,144439000,12.77,12.72,12.79,12.56,12.64
4495,000555.SZ,20231117.0,144442000,12.77,12.72,12.79,12.56,12.64
4496,000555.SZ,20231117.0,144445000,12.77,12.72,12.79,12.56,12.65
4497,000555.SZ,20231117.0,144448000,12.77,12.72,12.79,12.56,12.65
4498,000555.SZ,20231117.0,144451000,12.77,12.72,12.79,12.56,12.64
4499,000555.SZ,20231117.0,144454000,12.77,12.72,12.79,12.56,12.65
4500,000555.SZ,20231117.0,144457000,12.77,12.72,12.79,12.56,12.65
4501,000555.SZ,20231117.0,144500000,12.77,12.72,12.79,12.56,12.64
4502,000555.SZ,20231117.0,144503000,12.77,12.72,12.79,12.56,12.64
4503,000555.SZ,20231117.0,144506000,12.77,12.72,12.79,12.56,12.64
4504,000555.SZ,20231117.0,144509000,12.77,12.72,12.79,12.56,12.64
4505,000555.SZ,20231117.0,144512000,12.77,12.72,12.79,12.56,12.64
4506,000555.SZ,20231117.0,144515000,12.77,12.72,12.79,12.56,12.64
4507,000555.SZ,20231117.0,144518000,12.77,12.72,12.79,12.56,12.64
4508,000555.SZ,20231117.0,144521000,12.77,12.72,12.79,12.56,12.64
4509,000555.SZ,20231117.0,144524000,12.77,12.72,12.79,12.56,12.64
4510,000555.SZ,20231117.0,144527000,12.77,12.72,12.79,12.56,12.64
