,symbol,date,time,recv_time,prev_close,open,last_prc,volume,high_limited,low_limited,ask_prc1,bid_prc1,ask_vol1,bid_vol1,fill,index_Resource,Time,t_volume,outlier,middle,acc_weight_price,stop
3726,000016.SH,20231201.0,121421000,121421220.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121421000.0,0,0,2341.6126,2349.2,0
3727,000016.SH,20231201.0,121424000,121424215.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121424000.0,0,0,2341.6126,2349.2,0
3728,000016.SH,20231201.0,121427000,121427214.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121427000.0,0,0,2341.6126,2349.2,0
3729,000016.SH,20231201.0,121430000,121430214.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121430000.0,0,0,2341.6126,2349.2,0
3730,000016.SH,20231201.0,121433000,121433221.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121433000.0,0,0,2341.6126,2349.2,0
3731,000016.SH,20231201.0,121434000,121434218.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121434000.0,0,0,2341.6126,2349.2,0
3732,000016.SH,20231201.0,121436000,121436219.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121436000.0,0,0,2341.6126,2349.2,0
3733,000016.SH,20231201.0,121439000,121439215.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121439000.0,0,0,2341.6126,2349.2,0
3734,000016.SH,20231201.0,121442000,121442216.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121442000.0,0,0,2341.6126,2349.2,0
3735,000016.SH,20231201.0,121445000,121445217.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121445000.0,0,0,2341.6126,2349.2,0
3736,000016.SH,20231201.0,121448000,121448222.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121448000.0,0,0,2341.6126,2349.2,0
3737,000016.SH,20231201.0,121451000,121451221.0,2365.9962,2362.6263,2341.6126,1387682500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,121451000.0,0,0,2341.6126,2349.2,0
