,level_0,index,time,Unnamed: 0,symbol,date,recv_time,prev_close,open,last_prc,volume,high_limited,low_limited,ask_prc1,bid_prc1,ask_vol1,bid_vol1,fill,index_Resource,Time,t_volume,outlier,middle,acc_weight_price,stop
206,206,206,93518000,227,000016.SH,20231201.0,93518128.0,2365.9962,2362.6263,2352.2769,153598400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93518000.0,1778500,0,2352.2769,2357.97,0
207,207,207,93521000,228,000016.SH,20231201.0,93521232.0,2365.9962,2362.6263,2352.0988,154506800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93521000.0,908400,0,2352.0988,2357.93,0
208,208,208,93524000,229,000016.SH,20231201.0,93524165.0,2365.9962,2362.6263,2351.5833,155812200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93524000.0,1305400,0,2351.5833,2357.88,0
209,209,209,93527000,230,000016.SH,20231201.0,93527160.0,2365.9962,2362.6263,2351.9485,157639800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93527000.0,1827600,0,2351.9485,2357.81,0
210,210,210,93530000,231,000016.SH,20231201.0,93530160.0,2365.9962,2362.6263,2352.0145,158656500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93530000.0,1016700,0,2352.0145,2357.77,0
211,211,211,93533000,232,000016.SH,20231201.0,93533161.0,2365.9962,2362.6263,2352.3101,159447700.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93533000.0,791200,0,2352.3101,2357.75,0
212,212,212,93536000,234,000016.SH,20231201.0,93536179.0,2365.9962,2362.6263,2352.0443,159923400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93536000.0,475700,0,2352.0443,2357.73,0
213,213,213,93539000,235,000016.SH,20231201.0,93539181.0,2365.9962,2362.6263,2352.0513,160457800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93539000.0,534400,0,2352.0513,2357.71,0
214,214,214,93542000,236,000016.SH,20231201.0,93542177.0,2365.9962,2362.6263,2352.1299,161636900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93542000.0,1179100,0,2352.1299,2357.67,0
215,215,215,93545000,237,000016.SH,20231201.0,93545185.0,2365.9962,2362.6263,2352.6065,163505200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,self,93545000.0,1868300,0,2352.6065,2357.61,0
